MAGNITUDE,FREQUENCY
0.46932633925823,1,
0.18288464872385,2,
0.1362921219716,3,
0.12422098021891,4,
0.11701102838168,5,
0.10422007123902,6,
0.12832969474561,7,
0.055712912252162,8,
0.091220032520226,9,
0.030289090378532,10,
0.14755387546926,11,
0.08148059892216,12,
0.083484007450952,13,
0.044496954330233,14,
0.02527278444822,15,
0.080001385468292,16,
0.058693706258329,17,
0.074886561687879,18,
0.055988897362251,19,
0.052051909375507,20,
0.086325276300532,21,
0.049717124464054,22,
0.11920369431236,23,
0.010810171820692,24,
0.091045561122434,25,
0.25149786589486,26,
0.13495336897534,27,
0.085213638141928,28,
0.087355370369876,29,
0.10560871977744,30,
0.029539387781205,31,
0.010504322873507,32,
0.001656401251337,33,
0.13529872619355,34,
0.17684765633004,35,
0.30622376837607,36,
0.56053343465468,37,
0.28099420543607,38,
0.17348514655508,39,
0.14218689083611,40,
0.10830612925729,41,
0.04457421365693,42,
0.08590850499399,43,
0.052064071172042,44,
0.046911941365595,45,
0.16231074853593,46,
0.10107692624016,47,
0.032516939435736,48,
0.088790598913764,49,
0.16887285308299,50,
0.27332105365067,51,
0.070626385784579,52,
0.019076340216772,53,
0.048149149591529,54,
0.068126261755484,55,
0.032317394650781,56,
0.022849952992443,57,
0.092827501766451,58,
0.070168622866276,59,
0.95004070001242,60,
0.051609692681436,61,
0.06167724187543,62,
0.017686368527992,63,
0.014112158343008,64,
0.091134492648542,65,
0.052790845987591,66,
0.032884979166732,67,
0.12627882901984,68,
0.10772145173436,69,
0.071479490104706,70,
0.084647001792839,71,
0.073705175339259,72,
0.17056917854245,73,
0.065865117660946,74,
0.10967139635693,75,
0.01563231475299,76,
0.095713442436943,77,
0.14406917882673,78,
0.064029677522923,79,
0.059445889394303,80,
0.074659647852381,81,
0.036782668479054,82,
0.043683316228013,83,
0.051898832942501,84,
0.035985818090877,85,
0.067549644641637,86,
0.071034796812838,87,
0.021486757123004,88,
0.24366129511555,89,
1.8063503624214,90,
0.10623292334486,91,
0.068159433030189,92,
0.10246155595236,93,
0.068545915233175,94,
0.12084667118572,95,
0.11670336805551,96,
0.15887647024237,97,
0.17899527716706,98,
0.076198733427266,99,
0.20336472524078,100,
0.18476838889615,101,
0.068621020552055,102,
0.054236352171675,103,
0.04350207412913,104,
0.053202686290317,105,
0.078113985165608,106,
0.058880265661075,107,
0.069974471782748,108,
0.068085254645221,109,
0.014492699368129,110,
0.082098916400191,111,
0.029449162825757,112,
0.023697515783426,113,
0.042193934809889,114,
0.098560920146649,115,
0.038022823084828,116,
0.0069638080174745,117,
0.066217978785542,118,
0.11804692729419,119,
0.072191877021104,120,
0.010909157227157,121,
0.12934114101137,122,
0.044314834879619,123,
0.038092283905275,124,
0.037623043685181,125,
0.090928476525073,126,
0.047548783560697,127,
0.061442664155928,128,
0.073726287792782,129,
0.018097175248645,130,
0.027977595528734,131,
0.04069746810351,132,
0.081508304142641,133,
0.044886846697588,134,
0.16360899796231,135,
0.084306966674699,136,
0.14125501362301,137,
0.13639643429222,138,
0.10059764923859,139,
0.014306704364539,140,
0.14005569642464,141,
0.086173484272465,142,
0.057490079756861,143,
0.10968709758635,144,
0.075970070413466,145,
0.11356846603461,146,
0.22761588243853,147,
0.060401402807863,148,
0.17284238878923,149,
0.079032178211321,150,
0.074655029968729,151,
0.11894973909592,152,
0.12484932793845,153,
0.084648650728959,154,
0.11554253698435,155,
0.037575790046253,156,
0.063412798227153,157,
0.029410551186477,158,
0.12486363600263,159,
0.032964268424868,160,
0.11311253969743,161,
0.071675309753842,162,
0.050745112545203,163,
0.18370957291161,164,
0.19270576086764,165,
0.5050320619004,166,
0.71919949240715,167,
0.29447460681059,168,
0.14366267624415,169,
0.14575531099675,170,
0.1484796679562,171,
0.14721913528586,172,
0.16470298640079,173,
0.068254918280932,174,
0.15054072955442,175,
0.10141974442905,176,
0.19901339033086,177,
0.060783699368781,178,
0.084836298290893,179,
0.098493380177046,180,
0.1128683256088,181,
0.06165256370755,182,
0.038002906058879,183,
0.063001469948673,184,
0.18604110957174,185,
0.1318645483137,186,
0.071614194867145,187,
0.052568546107496,188,
0.023630782946935,189,
0.010910718066827,190,
0.025856701299834,191,
0.094489769380791,192,
0.11280354513925,193,
0.049217456945592,194,
0.062870523883349,195,
0.11223462394338,196,
0.13579720843719,197,
0.095400306482565,198,
0.082303118206721,199,
0.31632363194054,200,
0.16087723999035,201,
0.078209104771372,202,
0.028537310747568,203,
0.1618248859346,204,
0.10849689275393,205,
0.015135282248812,206,
0.098057825369072,207,
0.030013739330126,208,
0.16080390489626,209,
0.10258773427101,210,
0.036070997457665,211,
0.11448083499797,212,
0.069128227168491,213,
0.10425456715619,214,
0.034501099984492,215,
0.046683140141559,216,
0.027678189620611,217,
0.087179883624466,218,
0.0343525034912,219,
0.067304386618431,220,
0.0375362274,221,
0.075178089759567,222,
0.10716628567885,223,
0.035816073949089,224,
0.059088187909131,225,
0.16117205699244,226,
0.061606481615564,227,
0.12469487180877,228,
0.12210771892765,229,
0.18801705518746,230,
0.067325707697202,231,
0.071582720452135,232,
0.037376435342911,233,
0.16546438397282,234,
0.057534625249471,235,
0.013217746577183,236,
0.18035754469227,237,
0.19048941174387,238,
0.10444671223655,239,
0.037360804613725,240,
0.044181469277721,241,
0.37460123559208,242,
0.030527865679137,243,
0.143822180373,244,
0.11771715520066,245,
0.18702129544928,246,
0.10356195235159,247,
0.12325174086074,248,
0.10053437391094,249,
0.40987828316916,250,
0.20598531874304,251,
0.3084548691185,252,
0.10363413784541,253,
0.16255878400178,254,
0.15337808321677,255,
0.12364768295086,256,
0.024186638677201,257,
0.032280637723318,258,
0.1313936190898,259,
0.097626310003188,260,
0.017905690237534,261,
0.10950369911963,262,
0.11721010037986,263,
0.057429007260074,264,
0.26023382967752,265,
0.2564187719624,266,
0.12714198573922,267,
0.1375981750813,268,
0.27147429605967,269,
0.03197322460935,270,
0.13425246968507,271,
0.21325884854506,272,
0.178899331179,273,
0.11966351674148,274,
0.15630112291043,275,
0.11360131007302,276,
0.18972440941948,277,
0.23293876161385,278,
0.021754712326807,279,
0.10536709302306,280,
0.13284905185814,281,
0.050287400637494,282,
0.015478991487742,283,
0.075928680170079,284,
0.017803322881118,285,
0.025984610927353,286,
0.06452635260374,287,
0.04821159320404,288,
0.038332011619217,289,
0.10092163836656,290,
0.08046974092911,291,
0.07796840372661,292,
0.079679097055266,293,
0.01137636693326,294,
0.035146525655297,295,
0.068256574957164,296,
0.093415604032937,297,
0.01445299733345,298,
0.18756692301492,299,
0.18473873826261,300,
0.10940637056946,301,
0.068888660446937,302,
0.020633317918156,303,
0.058679787568888,304,
0.055296791877734,305,
0.051272759126679,306,
0.037364297938359,307,
0.037928516018272,308,
0.084535166778943,309,
0.047264584258981,310,
0.017816445612642,311,
0.099622093234546,312,
0.034090361868526,313,
0.10666312868638,314,
0.11213592389538,315,
0.080190736495919,316,
0.055366277159581,317,
0.054739175231485,318,
0.15082104360178,319,
0.14005928509375,320,
0.095950098725989,321,
0.037966635592612,322,
0.045474933431579,323,
0.039923001720257,324,
0.03618031268435,325,
0.060504843014957,326,
0.060010492911933,327,
0.078304367654292,328,
0.090815206504976,329,
0.057886134568102,330,
0.048087029914062,331,
0.082609027206686,332,
0.51187175035865,333,
0.077646898202577,334,
0.087315174648815,335,
0.11418830209811,336,
0.070513501413296,337,
0.089636432839415,338,
0.047046901461267,339,
0.10578981565593,340,
0.071193125264229,341,
0.021894564701612,342,
0.14599838103437,343,
0.06162699950092,344,
0.062786067090829,345,
0.037321382626878,346,
0.072293803603331,347,
0.099082128116149,348,
0.065781455268251,349,
0.014820603055325,350,
0.10082961712506,351,
0.083780694540452,352,
0.014682608870504,353,
0.027162609582846,354,
0.039602760163247,355,
0.073090638241931,356,
0.1292035412586,357,
0.048143354358577,358,
0.079647654593857,359,
0.073217144173655,360,
0.031753148476846,361,
0.060010281617507,362,
0.023147948821667,363,
0.095909880458183,364,
0.015932209500993,365,
0.10980239202733,366,
0.061759373496258,367,
0.076255008695266,368,
0.055373455278224,369,
0.036525153701087,370,
0.080014645917903,371,
0.058083465032547,372,
0.015681195892586,373,
0.065336515005584,374,
0.042470201906533,375,
0.12328202588136,376,
0.069401152524871,377,
0.060325305403371,378,
0.16189770002783,379,
0.054365576305523,380,
0.026178469232386,381,
0.038612522453227,382,
0.053372096646402,383,
0.067589260111854,384,
0.054279584325903,385,
0.10118346926112,386,
0.049940134748889,387,
0.051406055890343,388,
0.095524580606419,389,
0.13687925098927,390,
0.058357557165998,391,
0.078128626947166,392,
0.10085745776489,393,
0.053347158378183,394,
0.14733276855322,395,
0.087967032553304,396,
0.12366683223335,397,
0.022588071514685,398,
0.080511078203475,399,
0.10220695172285,400,
0.038269180444932,401,
0.054109744376924,402,
0.080566566543749,403,
0.05432133494487,404,
0.096739095053504,405,
0.034212463272193,406,
0.077745337073876,407,
0.041106466012309,408,
0.0098046464801526,409,
0.052413195286947,410,
0.036816554548877,411,
0.06842192178961,412,
0.14645020936393,413,
0.01594797661875,414,
0.057958879935914,415,
0.042524953177142,416,
0.047307180786809,417,
0.040092794123904,418,
0.035994467699471,419,
0.11102690315919,420,
0.095322403004978,421,
0.11616477506122,422,
0.049722951986957,423,
0.030553908263658,424,
0.034578034390433,425,
0.053823404723424,426,
0.050172306574549,427,
0.12868460253032,428,
0.077304040949993,429,
0.071573224074889,430,
0.051371968067716,431,
0.046457167793111,432,
0.11932497143713,433,
0.02737045953114,434,
0.052951562137454,435,
0.047228084883276,436,
0.07327383471707,437,
0.035291887977343,438,
0.11788018664306,439,
0.069621361436759,440,
0.10025195296908,441,
0.029911517062866,442,
0.052912277153038,443,
0.028204643179691,444,
