MAGNITUDE,FREQUENCY
0.58438361437524,1,
0.4170204950016,2,
0.063700872909967,3,
0.23372062443896,4,
0.26019067095699,5,
0.19448008158211,6,
0.019016891067504,7,
0.22802738678972,8,
0.024290845045805,9,
0.025751108054094,10,
0.14387167246624,11,
0.13300749814086,12,
0.070942867597616,13,
0.098082958690275,14,
0.15842021708342,15,
0.123338617582,16,
0.2086053623124,17,
0.21510075336551,18,
0.10388421014317,19,
0.22512383816139,20,
0.10126586526346,21,
0.19842442928515,22,
0.048629250063195,23,
0.62403148030416,24,
0.15694055265393,25,
0.12201950198936,26,
0.30153354627447,27,
0.1091513895759,28,
0.26206676097827,29,
0.10396343106449,30,
0.072677623246682,31,
0.088133001158831,32,
0.04618355626653,33,
0.15278621566226,34,
0.070611624767741,35,
0.052576097289948,36,
0.11534793095039,37,
0.12511378814104,38,
0.11073003728293,39,
0.036474476873508,40,
0.075626613228286,41,
0.078478571385374,42,
0.084029953990149,43,
0.082094744088646,44,
0.076874237569253,45,
0.1485112204636,46,
0.030483044981437,47,
0.081456553004126,48,
0.12187095063788,49,
0.11312659208976,50,
0.072116306436495,51,
0.16213168902176,52,
0.15627997499674,53,
0.058229807922151,54,
0.086051126981428,55,
0.12020958502787,56,
0.2188515120626,57,
0.079955823120523,58,
0.15806989582253,59,
1.6511023437445,60,
0.068969754458391,61,
0.06831645719298,62,
0.10495080409091,63,
0.036494968053833,64,
0.086464824206983,65,
0.088643814225526,66,
0.10689879816468,67,
0.025531609318021,68,
0.060536835169157,69,
0.19742701991921,70,
0.065958091788611,71,
0.053277987802227,72,
0.077156871561964,73,
0.1230424154562,74,
0.025410260613177,75,
0.036681029777969,76,
0.098665504015467,77,
0.046208446349418,78,
0.17345120662188,79,
0.04070021599836,80,
0.029604058657985,81,
0.12331857130944,82,
0.040805475672167,83,
0.044307039525624,84,
0.10568033560669,85,
0.13143843943505,86,
0.047044383136454,87,
0.11679157321511,88,
0.05678640574962,89,
0.051344129189382,90,
0.097604166344645,91,
0.15172596938402,92,
0.14656584076012,93,
0.10188844079216,94,
0.036470224731397,95,
0.1601017482575,96,
0.21546848097146,97,
0.032295344739538,98,
0.12779471428255,99,
0.055926775448012,100,
0.043865637824891,101,
0.060459493087657,102,
0.12408935360432,103,
0.033889861421953,104,
0.063909643923301,105,
0.1268456952088,106,
0.077879369921906,107,
0.035963641576099,108,
0.056953198382223,109,
0.11572473886605,110,
0.096854427278335,111,
0.097095958908831,112,
0.080957549172822,113,
0.069519525529478,114,
0.080685901705977,115,
0.046066698664252,116,
0.11256983635281,117,
0.10780699107486,118,
0.062914949181655,119,
0.010794886612312,120,
0.066028986702486,121,
0.062593761876617,122,
0.13786263612995,123,
0.055696194852217,124,
0.11232794196349,125,
0.082365651759674,126,
0.14014359693946,127,
0.12593111736394,128,
0.032352202393216,129,
0.044844287998421,130,
0.081306490776842,131,
0.065044549953232,132,
0.08790367194626,133,
0.10359678123189,134,
0.062005358466995,135,
0.032345338822377,136,
0.13858488639313,137,
0.054756075216396,138,
