MAGNITUDE,FREQUENCY
1.0014631372603,1,
0.39694424372088,2,
0.19174494963585,3,
0.18670924545707,4,
0.14957226542667,5,
0.14634680639915,6,
0.13609592153686,7,
0.073213046989473,8,
0.034375276433993,9,
0.042535972205009,10,
0.047473763665835,11,
0.23923619555792,12,
0.036562950933319,13,
0.069148282203895,14,
0.031574175068373,15,
0.085333112101235,16,
0.028587794423629,17,
0.14505479825004,18,
0.14393920132832,19,
0.20429914163095,20,
0.085216064292683,21,
0.06478067485264,22,
0.067364092773954,23,
0.21609195486829,24,
0.402866626758,25,
0.13108370843264,26,
0.018220094389294,27,
0.12111161998976,28,
0.1380875334283,29,
0.053697565236437,30,
0.061368121755135,31,
0.057893101636172,32,
0.039894830016143,33,
0.085962086719014,34,
0.07637953975224,35,
0.060999139118103,36,
0.078526653515481,37,
0.11582498969546,38,
0.12735571699846,39,
0.095963407101417,40,
0.012438323196002,41,
0.17322642413092,42,
0.11347381052611,43,
0.045302899795579,44,
0.063557194721321,45,
0.15131032736131,46,
0.053659372499315,47,
0.077896689887361,48,
0.093159121508842,49,
0.077745390093977,50,
0.087052755239225,51,
0.10629001513555,52,
0.10350368645021,53,
0.083384690184442,54,
0.072317841970826,55,
0.12353548916304,56,
0.063830109159263,57,
0.039509608438607,58,
0.056673366497691,59,
1.6019193381898,60,
0.082182920907582,61,
0.073206544848064,62,
0.093438233872076,63,
0.14251317400427,64,
0.031287163300385,65,
0.042872017908326,66,
0.091788467673762,67,
0.089492020019624,68,
0.11340379701143,69,
0.047659183009961,70,
0.015383460600259,71,
0.04133127367892,72,
0.049142601862897,73,
0.079106644458193,74,
0.082615829025916,75,
0.084838051484871,76,
0.16015156317428,77,
0.087173052239538,78,
0.086216854523232,79,
0.041476753517233,80,
0.040468508072939,81,
0.045536306128978,82,
0.069945971276548,83,
0.032305615915078,84,
0.15166286983876,85,
0.036947634701656,86,
0.071424113822063,87,
0.05921339307366,88,
0.032484318136064,89,
0.074149735929564,90,
0.032352086070017,91,
0.03147190832817,92,
0.14152617069844,93,
0.090087130645384,94,
0.091017479894408,95,
0.039698826205504,96,
0.20398086637574,97,
0.14269979627306,98,
0.078214059842456,99,
0.085330851787825,100,
0.043388044233652,101,
0.043298476586884,102,
0.046197418199054,103,
0.085950396376733,104,
0.055680176345856,105,
0.035638850057168,106,
0.095953076922254,107,
0.082663620095437,108,
0.016967165583481,109,
0.056533281754455,110,
0.054991767338093,111,
0.097965625395593,112,
0.065005367124744,113,
0.037384897188251,114,
0.059799507723149,115,
0.049324169273966,116,
0.066102757907152,117,
0.11679784411315,118,
0.058670765158321,119,
0.065926436887866,120,
0.022147459176021,121,
0.071730876226607,122,
0.074192277916691,123,
0.055802608217764,124,
0.053599959226893,125,
0.13191990782831,126,
0.10146133319527,127,
0.13008265522707,128,
0.036981774237238,129,
0.1519782934654,130,
0.020625848968666,131,
0.032059341741744,132,
0.06036098626641,133,
0.029351061390887,134,
0.10754474873691,135,
0.060892410050363,136,
0.082310274906225,137,
0.057373363555876,138,
0.1183492268059,139,
0.1073287171251,140,
0.046667221879514,141,
0.031385013318989,142,
0.014887073888516,143,
0.053658851919797,144,
0.080769362829091,145,
0.10537736273723,146,
0.11128349189301,147,
0.1023098644829,148,
0.096653788239618,149,
0.13455458865723,150,
0.14327821382589,151,
0.068194811099599,152,
0.060211823602665,153,
0.098164558658348,154,
0.015663625897648,155,
0.10368535520857,156,
0.10788093625681,157,
0.05764988688086,158,
0.042514211516169,159,
0.053317752158038,160,
0.10645081162657,161,
0.078255441304275,162,
0.013796097526461,163,
0.073460141125528,164,
0.089306719926934,165,
0.065241961876163,166,
0.04421467587814,167,
0.1020349346874,168,
0.048774750584418,169,
0.06887366141288,170,
0.10274508901078,171,
0.19540518467914,172,
0.01742372127754,173,
0.1087592313371,174,
0.046595947442456,175,
0.099568604730302,176,
0.082318522037469,177,
0.093770624806984,178,
0.13122227196918,179,
0.11278362338662,180,
0.029960558018065,181,
0.044303221573885,182,
0.07160296940624,183,
0.071027850777669,184,
0.01052709856241,185,
0.046274992532929,186,
0.088801324117087,187,
0.066095402873759,188,
0.039703640144056,189,
0.11708833839108,190,
0.063018862997384,191,
0.12311284815306,192,
0.16236494996806,193,
0.084096226409414,194,
0.11989410279199,195,
0.044614775352094,196,
0.086240602904408,197,
0.049970546295391,198,
0.13790664167819,199,
0.026071379941282,200,
0.068375551613255,201,
0.077111193779807,202,
0.10018043349714,203,
0.10057736288967,204,
0.028477266415469,205,
0.046444026529643,206,
0.051223507243928,207,
0.060791956755576,208,
0.04382895024973,209,
0.083179309797348,210,
0.097789189422405,211,
0.05677826207446,212,
0.052133913016889,213,
0.019011350310068,214,
0.057460105943834,215,
0.062101419297804,216,
0.023832146381533,217,
0.052292700861933,218,
0.089398536145069,219,
0.045767848469525,220,
0.041683947697133,221,
0.052765133125096,222,
0.10228174828633,223,
0.14586965304165,224,
0.064220774767686,225,
0.09576537790469,226,
0.10822486816721,227,
0.038930327195967,228,
0.037324441157696,229,
0.074427718091519,230,
0.075165498446387,231,
0.075036367207314,232,
0.049234539224922,233,
0.021224784543854,234,
0.11944100315874,235,
0.16048077129026,236,
0.062908992473833,237,
0.098746551282404,238,
0.058898501980128,239,
0.045092261946307,240,
0.061076582931216,241,
0.11089712746529,242,
0.10390548206223,243,
0.11062370992672,244,
0.093550333182453,245,
0.088854486442231,246,
0.051557598495352,247,
0.18975571758617,248,
0.073843884187354,249,
0.11826402568998,250,
0.071803660338511,251,
0.13915116417275,252,
0.03153110363605,253,
0.18933186577712,254,
0.046400805130648,255,
0.11493599749856,256,
0.042891676323111,257,
0.090720460681827,258,
0.029214740649833,259,
0.12875923448271,260,
0.056834333366268,261,
0.036227374812533,262,
0.01273451235858,263,
0.069432603900369,264,
0.1074240883054,265,
0.16209312776681,266,
0.054585682490739,267,
0.085663368413928,268,
0.090354175411492,269,
0.11325210661868,270,
0.10127773758651,271,
0.15882670020439,272,
0.027588034919659,273,
0.15735691073289,274,
0.05017215895118,275,
0.03898461315546,276,
0.05355298212485,277,
0.12173113913509,278,
0.035071143903879,279,
0.054467840810644,280,
0.17273001119215,281,
0.035435169390098,282,
0.072742604919434,283,
0.071194758791902,284,
0.027890490572472,285,
0.14242947627254,286,
0.097891669570129,287,
0.085068875995154,288,
0.043417677893464,289,
0.15200589378388,290,
0.14160298711239,291,
0.047687183774625,292,
0.11803453433729,293,
0.016435696595846,294,
0.15054675820914,295,
0.11261402001515,296,
0.11803785053314,297,
0.059726571629811,298,
0.052545508778037,299,
0.081728519389547,300,
0.031980374006012,301,
0.048276322098822,302,
0.18851587531921,303,
0.22269094915615,304,
0.10340829746506,305,
0.013282767673354,306,
0.076234689143941,307,
0.030225150032099,308,
0.054922067004004,309,
0.16056284601171,310,
0.1546382448379,311,
0.12969934919296,312,
0.066652631321898,313,
0.17382857230762,314,
0.085717157553134,315,
0.093311505012237,316,
0.077976438840717,317,
0.049674661699017,318,
0.22511516356703,319,
0.11353368868398,320,
0.11053030461611,321,
0.21053957835844,322,
0.12590737408999,323,
0.092187725539378,324,
0.062482641657883,325,
0.11336902148379,326,
0.054048009804357,327,
0.057944995913731,328,
0.055664112844358,329,
0.066755046079707,330,
0.09097057907281,331,
0.13075748156111,332,
0.17872444335727,333,
0.14255832334101,334,
0.17570611150117,335,
0.1503458574231,336,
0.10199712939897,337,
0.054476819670617,338,
0.11157115464902,339,
0.11246868902267,340,
0.1436981900846,341,
0.16346880947549,342,
0.12696153976916,343,
0.11558995318252,344,
0.071955017916923,345,
0.024780724330438,346,
0.030886079384878,347,
0.046190426135343,348,
0.085480164498649,349,
0.08123438777091,350,
0.12991031401974,351,
0.12336563824142,352,
0.082937647877245,353,
0.16032391603728,354,
0.261928164479,355,
0.10659895253858,356,
0.25173319054142,357,
0.18466759109165,358,
0.16280841157566,359,
0.227257453971,360,
0.17656461533836,361,
0.20978625228633,362,
0.1637547794467,363,
0.14979580216631,364,
0.23420726067046,365,
0.22283352419253,366,
0.16984008968767,367,
0.22028774636466,368,
0.18598160603508,369,
0.30297128224715,370,
0.21047862935407,371,
0.20361173661167,372,
0.23995848249736,373,
0.22840569374807,374,
0.26864885863852,375,
0.1867350858273,376,
0.21323688522272,377,
0.41796091785478,378,
0.38400749547602,379,
0.40768689748092,380,
0.26987583116295,381,
0.42542642112776,382,
0.49455652118371,383,
0.28942577600867,384,
0.38394947932215,385,
0.36060876646578,386,
0.5254826736864,387,
0.49971934283122,388,
0.54906846414362,389,
0.60324791702677,390,
0.73055002803551,391,
0.90419518600882,392,
0.96617433069636,393,
1.1126608675934,394,
1.2838000307767,395,
1.5842796568953,396,
2.1534402573837,397,
3.4131536219563,398,
7.2626035126923,399,
36.541754963192,400,
5.1280070706807,401,
2.9523872634089,402,
1.865246548133,403,
1.5490114907652,404,
1.3032711332304,405,
1.0140582865774,406,
0.89100322209905,407,
0.68310238237324,408,
0.74809725194991,409,
0.67243722791596,410,
0.55064012822074,411,
0.55256502688536,412,
0.44568873696503,413,
0.51669684886901,414,
0.45849109153958,415,
0.37738718772861,416,
0.472748094933,417,
0.32551505213789,418,
0.32609914733712,419,
0.37483634004841,420,
0.30446613497998,421,
0.36323869931037,422,
0.27393867082871,423,
0.22203460799153,424,
0.35382867121914,425,
0.18331477316694,426,
0.20711524069768,427,
0.20315546492517,428,
0.21426648346193,429,
0.13399069223003,430,
0.23435313309651,431,
0.22996390797802,432,
0.092058691234692,433,
0.29704232714767,434,
0.17935366193053,435,
0.32599823677429,436,
0.20519922758687,437,
0.15110800864322,438,
0.20604687449148,439,
0.15023378345466,440,
0.12663033951496,441,
0.13275227582596,442,
0.26897371355105,443,
0.16943143787185,444,
