MAGNITUDE,FREQUENCY
0.2601029149038,1,
0.11077422851192,2,
0.12114698294357,3,
0.051129051510405,4,
0.11463000891953,5,
0.062385338891572,6,
0.078715597478145,7,
0.082637588582666,8,
0.035299715482792,9,
0.0095336131526245,10,
0.16682841005305,11,
0.12337523424982,12,
0.44664115864295,13,
0.16016218930758,14,
0.063579722846054,15,
0.069748091325038,16,
0.025987242116174,17,
0.17750089048627,18,
0.15115807210234,19,
0.13196337409704,20,
0.064106813324668,21,
0.10904421249332,22,
0.078524747209461,23,
0.18696600770707,24,
0.055161953381559,25,
0.11309998524,26,
0.16673403455568,27,
0.13400861584965,28,
0.069254113255175,29,
0.13782278553517,30,
0.20857482471131,31,
0.0054655371430765,32,
0.068595561649185,33,
0.04711123301956,34,
0.12221895979715,35,
0.4163197120746,36,
0.47099163551063,37,
0.12245985773037,38,
0.37554321995839,39,
0.34946695846041,40,
0.15277017264668,41,
0.10907687178627,42,
0.077569870246661,43,
0.088925195276475,44,
0.14051226887087,45,
0.037090384314397,46,
0.13507965518047,47,
0.16699987242412,48,
0.017263725187168,49,
0.14941683982097,50,
0.077424620650953,51,
0.13657846621474,52,
0.11327907385412,53,
0.2007640478589,54,
0.12441653071406,55,
0.1778846312043,56,
0.20475313759933,57,
0.31356176518703,58,
0.15966498385036,59,
3.6166258065466,60,
0.29493419418401,61,
0.20490190499803,62,
0.1180913284726,63,
0.028639552221248,64,
0.044095628986913,65,
0.078479431455297,66,
0.1826836914965,67,
0.10335557050928,68,
0.081045869070843,69,
0.13968118405876,70,
0.11253527779402,71,
0.094420268845299,72,
0.085295112836795,73,
0.079084725520123,74,
0.074340853081309,75,
0.099857919034454,76,
0.02555192539838,77,
0.17809104079474,78,
0.07975087695324,79,
0.099508922553336,80,
0.17357619647998,81,
0.09720704160005,82,
0.13263253351505,83,
0.14515718015185,84,
0.058457945305087,85,
0.089149357500754,86,
0.14573778253598,87,
0.061481662749859,88,
0.19853345516318,89,
0.0099558198603917,90,
0.12688171701171,91,
0.16683475305477,92,
0.2027028694444,93,
0.10334624548354,94,
0.096267127099378,95,
0.10999542334316,96,
0.32085305633317,97,
0.244562630436,98,
0.42725860120726,99,
0.17699606835951,100,
0.24976785950045,101,
0.040691693673875,102,
0.048601847498009,103,
0.037362248385821,104,
0.038625406838304,105,
0.050758406399788,106,
0.049830416314753,107,
0.13938534741689,108,
0.10487937843392,109,
0.047071116526162,110,
0.095160744490746,111,
0.10169793171836,112,
0.018251125691279,113,
0.075766697482214,114,
0.023616404478856,115,
0.07056790814096,116,
0.041563546877456,117,
0.013808780072799,118,
0.020320666597508,119,
0.21523724719023,120,
0.11547075041784,121,
0.058966821611231,122,
0.076232396329345,123,
0.1305581460339,124,
0.062506446479825,125,
0.040659925433198,126,
0.026512880649561,127,
0.093620829443791,128,
0.044108741386868,129,
0.030939698734821,130,
0.077524328873381,131,
0.071724338441063,132,
0.13107426226925,133,
0.016006524839246,134,
0.13832880870344,135,
0.067056062713368,136,
0.053676694901449,137,
0.13730795382034,138,
0.041222117172892,139,
0.053921633467739,140,
0.18533595958052,141,
0.052102356045296,142,
0.079608504951174,143,
0.15935133264502,144,
0.019298096896657,145,
0.10752127669172,146,
0.11949238066083,147,
0.046936332360009,148,
0.089581630862744,149,
0.064864992742818,150,
0.035758726163905,151,
0.16710101914699,152,
0.094592628511566,153,
0.11029287848596,154,
0.058066878757977,155,
0.044175646089521,156,
0.066537002176554,157,
0.011463697277264,158,
0.051985406618273,159,
0.067964724001344,160,
0.064544154130209,161,
0.043150326245741,162,
0.058100742588625,163,
0.17247210191331,164,
0.25650502390398,165,
0.60487513697931,166,
0.80454089093643,167,
0.38268115739475,168,
0.28317847972691,169,
0.17454654540254,170,
0.10686957234875,171,
0.069249130901865,172,
0.1992392146091,173,
0.11721140142947,174,
0.073777785614,175,
0.076232461509146,176,
0.10050912283833,177,
0.25597341915333,178,
0.31812840530444,179,
1.2656661600437,180,
0.27339931752882,181,
0.14071534628782,182,
0.20395735027816,183,
0.22657542800417,184,
0.13279893099553,185,
0.15066408282199,186,
0.18925847215182,187,
0.088023759073172,188,
0.17631302452217,189,
0.11903779214934,190,
0.10663537136041,191,
0.11045601663814,192,
0.073400879029451,193,
0.14727877312927,194,
0.1297144155855,195,
0.077928368946831,196,
0.20636123188638,197,
0.24552722377331,198,
0.32130212622953,199,
0.016725923934085,200,
0.07124829660592,201,
0.18166754862745,202,
0.046262014856778,203,
0.098427815417514,204,
0.080987631098538,205,
0.055148103206881,206,
0.14363790274892,207,
0.11154101486452,208,
0.074405881620721,209,
0.12631025072881,210,
0.047121651752774,211,
0.12431969846499,212,
0.034337022585249,213,
0.088648451129808,214,
0.09257250853919,215,
0.15666939855823,216,
0.13112085367553,217,
0.084387130979765,218,
0.11678768324718,219,
0.023658423753753,220,
0.028829931563156,221,
0.20026701085796,222,
0.091964057812179,223,
0.15100892234317,224,
0.053546977839895,225,
0.23128889056186,226,
0.060604537063904,227,
0.12611551116888,228,
0.057929431608583,229,
0.11639377952718,230,
0.17090239062263,231,
0.061851383114565,232,
0.031219260945643,233,
0.12112722456108,234,
0.04656596189366,235,
0.091205592979606,236,
0.082888241295886,237,
0.10982282926508,238,
0.039080469421185,239,
0.13482897688514,240,
0.093389792643721,241,
0.084156699308361,242,
0.041595639916038,243,
0.17302831695367,244,
0.14627271539106,245,
0.081462849099611,246,
0.0064746820220611,247,
0.10879784872808,248,
0.075122740369818,249,
0.060360447180073,250,
0.1981102419295,251,
0.085583557337938,252,
0.1135774064889,253,
0.039400919737265,254,
0.13347762923807,255,
0.11196320399137,256,
0.044829926231574,257,
0.081878876025364,258,
0.16727872798798,259,
0.11960250959221,260,
0.11343948353171,261,
0.062569071112906,262,
0.069887681758226,263,
0.063038297222208,264,
0.14748604234512,265,
0.24032755438264,266,
0.10213666980398,267,
0.061377203450535,268,
0.07602532273353,269,
0.083705791477618,270,
0.089928851209744,271,
0.17700737561897,272,
0.041995309563654,273,
0.048515375397389,274,
0.057487431705868,275,
0.12964549185114,276,
0.06267723790076,277,
0.095668662839201,278,
0.040928227514693,279,
0.13700103778114,280,
0.01738587080434,281,
0.037319001918233,282,
0.070046979987171,283,
0.08696676289983,284,
0.13962728279741,285,
0.039882741696766,286,
0.09027084398979,287,
0.062902360751291,288,
0.034291649415121,289,
0.10265761314613,290,
0.052879552877522,291,
0.11959374065781,292,
0.15358654009693,293,
0.054266446439582,294,
0.23444162999303,295,
0.10807082641092,296,
0.14838310621692,297,
0.04893513821986,298,
0.50411873451097,299,
0.60683660708894,300,
0.15262655192368,301,
0.13371420937527,302,
0.1404430328424,303,
0.25926847031497,304,
0.18735400555044,305,
0.21085675611642,306,
0.063935244580893,307,
0.088251898469861,308,
0.081129379604773,309,
0.036820807898176,310,
0.078347649188075,311,
0.13659048390053,312,
0.087938538933765,313,
0.16735002705583,314,
0.13984112963178,315,
0.10887752797097,316,
0.14571247079898,317,
0.098904645353547,318,
0.04613315501612,319,
0.20697279244178,320,
0.13625274620721,321,
0.15411378175627,322,
0.18420757256269,323,
0.037011795523782,324,
0.12716892518663,325,
0.08126319884858,326,
0.014540444805448,327,
0.099915391927879,328,
0.098651091889572,329,
0.058366570156984,330,
0.13862720565308,331,
0.055639929824309,332,
0.98963705819541,333,
0.17647702756265,334,
0.14452890048582,335,
0.19220432442114,336,
0.087387729391348,337,
0.18331278003072,338,
0.18469729113282,339,
0.059577418352148,340,
0.15664996597853,341,
0.15056978635788,342,
0.053320574347092,343,
0.13670852810304,344,
0.12254476033381,345,
0.14468051232911,346,
0.13786094859545,347,
0.22781280187526,348,
0.15685823292051,349,
0.077184626377902,350,
0.13261717182593,351,
0.19063679288302,352,
0.23087165340761,353,
0.13159262567013,354,
0.10858152922958,355,
0.032809077039629,356,
0.068239058886997,357,
0.09373787142438,358,
0.20277915998148,359,
0.096636831854841,360,
0.034399697677478,361,
0.081939638059348,362,
0.11483872101461,363,
0.14493925409103,364,
0.089024586094635,365,
0.12841338251724,366,
0.17422235018951,367,
0.1453525780941,368,
0.22035986700425,369,
0.22580151829019,370,
0.028146097959532,371,
0.12114517828739,372,
0.22741401040519,373,
0.19656262988812,374,
0.085506370394153,375,
0.044543792842426,376,
0.050496949653715,377,
0.1469397970272,378,
0.16351591914414,379,
0.15398559633391,380,
0.056396095157581,381,
0.091270834093263,382,
0.078289148433839,383,
0.05129879479637,384,
0.028612006538842,385,
0.10931572479177,386,
0.21091999430818,387,
0.14750284472824,388,
0.12681586451973,389,
0.11344378158497,390,
0.13936506412984,391,
0.19329472176958,392,
0.26196818985367,393,
0.10767010938679,394,
0.13564625406413,395,
0.01675789270088,396,
0.18717813038617,397,
0.14674040788592,398,
0.44932436210303,399,
0.17129066914049,400,
0.15837276021997,401,
0.14060580312611,402,
0.076862119993164,403,
0.10836781096915,404,
0.23877912728454,405,
0.11695462765617,406,
0.17355700093909,407,
0.15714785462381,408,
0.19951469076436,409,
0.048203984023477,410,
0.21511626512794,411,
0.1263205386383,412,
0.1210708947357,413,
0.13260856891424,414,
0.27936012700356,415,
0.091046511001674,416,
0.19053430396616,417,
0.096356327090001,418,
0.12352610866184,419,
0.12266262100082,420,
0.15557347417155,421,
0.15870172551241,422,
0.058543060422503,423,
