MAGNITUDE,FREQUENCY
1.302856958043,1,
0.27106380550354,2,
0.11639941209972,3,
0.36512700354046,4,
0.21184405529305,5,
0.063297390548471,6,
0.15995643088114,7,
0.042769731376168,8,
0.12260251465707,9,
0.045200419530252,10,
0.065442961956435,11,
0.092501020672263,12,
0.10774431515107,13,
0.037828839142015,14,
0.10526291100815,15,
0.046207753923614,16,
0.1040777075685,17,
0.084700891676832,18,
0.3164563165253,19,
0.087345484606829,20,
0.12829606224469,21,
0.08761868520954,22,
0.2038663996917,23,
0.19469580796373,24,
0.090170197859671,25,
0.051227887578292,26,
0.066250222969702,27,
0.060428271851956,28,
0.084346503554237,29,
0.092305955792219,30,
0.08779365941246,31,
0.045950464859324,32,
0.083651457177726,33,
0.093320693057444,34,
0.066286616743692,35,
0.059031084713348,36,
0.16681586687653,37,
0.055133075454152,38,
0.10978169414968,39,
0.237935478796,40,
0.39407166244801,41,
0.28706636341085,42,
0.094209026412676,43,
0.10615820484284,44,
0.13928258386462,45,
0.1067695666218,46,
0.083027306100682,47,
0.0065261046231984,48,
0.055141710218587,49,
0.070533209847419,50,
0.06414163627834,51,
0.099311915989339,52,
0.13194619403814,53,
0.017911970298104,54,
0.091358902494769,55,
0.054671847447639,56,
0.089230626564366,57,
0.13704980138102,58,
0.23673184186758,59,
0.26232531933245,60,
0.14107226525598,61,
0.23113571724166,62,
0.10378444498131,63,
0.19653175646792,64,
0.16381655887694,65,
0.17681549344273,66,
0.086671665563142,67,
0.031055637509131,68,
0.10794596038949,69,
0.086728907205732,70,
0.081896404140286,71,
0.11343243785932,72,
0.095000730221609,73,
0.28117287916539,74,
0.12672121190494,75,
0.059689723616255,76,
0.045261764234203,77,
0.13877829885235,78,
0.029145352795578,79,
0.073048748808021,80,
0.042986294528597,81,
0.091538647346373,82,
0.033481230073868,83,
0.082733439326867,84,
0.071773707810853,85,
0.036388017371585,86,
0.020451971123541,87,
0.047399692524511,88,
0.061416488066819,89,
0.050603515539617,90,
0.095654343988742,91,
0.063574312796898,92,
0.12865799203312,93,
0.040946982742391,94,
0.42383297877552,95,
0.20529214230797,96,
0.21431712622192,97,
0.19074727737347,98,
0.086597040638223,99,
0.18040384765782,100,
0.12035537563602,101,
0.056290928311511,102,
0.031766696775517,103,
0.087315761511199,104,
0.030518948153932,105,
0.089805461739027,106,
0.020132292909906,107,
