MAGNITUDE,FREQUENCY
1.7176715082281,1,
0.73710088513941,2,
0.45812929243578,3,
0.38853781562116,4,
0.22495961940684,5,
0.21652285552232,6,
0.1418243452625,7,
0.55726564855677,8,
0.13139468234967,9,
0.12813381355767,10,
0.27426174000405,11,
0.020466221864198,12,
0.14964035667668,13,
0.14519753306985,14,
0.17631559596716,15,
0.18763187322715,16,
0.1080756703974,17,
0.075519516898267,18,
0.14916348031311,19,
0.25019912108295,20,
0.20390784215909,21,
0.20862921664675,22,
0.18575353110422,23,
0.087704529560119,24,
0.069754568975097,25,
0.037323418191096,26,
0.075903857647188,27,
0.075219108162853,28,
0.056982241322724,29,
0.089674752223453,30,
0.11209437896363,31,
0.11720957007115,32,
0.027143720330238,33,
0.10436634322948,34,
0.14195011578633,35,
0.071340997903385,36,
0.13529891415058,37,
0.1836009546821,38,
0.42388700430455,39,
0.61207123348576,40,
0.15651647811339,41,
0.58116152152891,42,
0.25238151150389,43,
0.13920381615053,44,
0.1489733020153,45,
0.22033089620186,46,
0.055141756415352,47,
0.077055373887209,48,
0.1195851003799,49,
0.12276247708644,50,
0.12196691125855,51,
0.12233328235384,52,
0.11065237216873,53,
0.045496993651787,54,
0.071545326063744,55,
0.06098531128035,56,
0.062054819283045,57,
0.2415271608092,58,
0.30527904866609,59,
0.16244260784039,60,
0.17910805284635,61,
0.24494037334725,62,
0.25695331674319,63,
0.16485474971012,64,
0.052678938048457,65,
0.25331600202472,66,
0.22209981175142,67,
0.086907919510662,68,
0.013722734596247,69,
0.048195952662167,70,
0.082644088764147,71,
0.013988103842497,72,
0.064791621097489,73,
0.26375883780487,74,
0.11920182359518,75,
0.06099593476375,76,
0.23956377501503,77,
0.025824053722348,78,
0.048152875651056,79,
0.11263149335701,80,
0.033157306004696,81,
0.12718677953125,82,
0.067875952004447,83,
0.13796768407646,84,
0.09889232941435,85,
0.095274166122212,86,
0.19397789819436,87,
0.058283568658833,88,
0.21700494409187,89,
0.26155341915672,90,
0.17658031064503,91,
0.13966575063811,92,
0.1934842398167,93,
0.22033971307807,94,
0.26854939253503,95,
1.629480081923,96,
0.087548412102724,97,
0.31517035780928,98,
0.20992151895947,99,
0.054977284057622,100,
0.061317132181628,101,
0.12250385254359,102,
0.18758701295202,103,
0.45892894334593,104,
0.042609941652682,105,
0.19018484547356,106,
0.046999611744607,107,
0.18019136484502,108,
0.059615394937234,109,
0.064958446851299,110,
0.10801403456675,111,
0.25984233452078,112,
0.033558741977531,113,
0.048997393802849,114,
0.057869846051756,115,
0.077661797437983,116,
0.027038837167653,117,
0.052445701660812,118,
0.033452954358497,119,
0.046547331029827,120,
0.094095386743868,121,
0.18028489946638,122,
0.1360510932798,123,
0.084268519594315,124,
0.095112880594434,125,
0.088515398207004,126,
0.061975103484768,127,
0.078103051523659,128,
0.11291245338902,129,
0.18437351801538,130,
0.11120562751929,131,
0.11561049925358,132,
0.098568557750945,133,
0.060583417049742,134,
0.039004598466567,135,
0.023757066976547,136,
0.18745087699727,137,
0.16588952696456,138,
0.059605608871403,139,
0.020983154917655,140,
0.1506802712965,141,
0.016683851024485,142,
0.058759849833257,143,
0.093747700943758,144,
0.10408447142873,145,
0.14324013508012,146,
0.16073418706406,147,
0.12017790476906,148,
0.042870988493265,149,
0.2107183761633,150,
0.0080324612870625,151,
0.080297194267398,152,
0.055499082758289,153,
0.26324780436936,154,
0.33328951683438,155,
0.34162080805909,156,
0.12002060349525,157,
0.15622536046751,158,
0.22261793001795,159,
0.21945453621056,160,
0.24830628283412,161,
0.27189529120963,162,
0.18358360093777,163,
0.34226849514727,164,
0.094245922534263,165,
0.76375945053818,166,
1.4247408596669,167,
0.18859823492609,168,
0.44948685688725,169,
0.11549802111188,170,
0.31047757951015,171,
0.25861313792515,172,
0.15040712030133,173,
0.15446484202522,174,
0.16154183311076,175,
0.05175482558038,176,
0.23995952255445,177,
0.03247220687439,178,
0.12147365361188,179,
0.18838228117237,180,
0.11836330666201,181,
0.10746234227528,182,
0.16830371888438,183,
0.13192050139922,184,
0.74014983557971,185,
0.24041028593893,186,
0.20692436614228,187,
0.070821014704219,188,
0.099920363195599,189,
0.13412521329528,190,
0.17443675540566,191,
0.55704844421142,192,
0.22735980767077,193,
0.13098574502544,194,
0.20398290288029,195,
0.13372505954918,196,
0.075796428076597,197,
0.13197184444108,198,
0.13083172769976,199,
3.2103260644423,200,
0.13279757466385,201,
0.11025589560739,202,
0.041096195559407,203,
0.2039061174895,204,
0.10182279875284,205,
0.13293199393406,206,
0.20636345435122,207,
0.42799581070158,208,
0.15758566259712,209,
0.075510543536924,210,
0.23259291734794,211,
0.059305858807798,212,
0.12560053897295,213,
0.054774059117088,214,
0.078177588040141,215,
0.24324962583572,216,
0.15909225673513,217,
0.081952526602272,218,
0.068295531311092,219,
0.013346559225687,220,
0.14197328226036,221,
0.041104456308287,222,
0.068501285305991,223,
0.19483320110573,224,
0.11614806587601,225,
0.071034159689217,226,
0.11652781198341,227,
0.14275985223664,228,
0.20903221537628,229,
0.13070541482364,230,
0.077376397920546,231,
0.13208121786455,232,
0.14489737333085,233,
0.060137608338779,234,
0.0083851393981126,235,
0.060188118662738,236,
0.10252219498884,237,
0.048069256270155,238,
0.036151484980174,239,
0.0805525695178,240,
0.051485460473622,241,
0.021904568150668,242,
0.079735880749632,243,
0.0277164604653,244,
0.13472636918029,245,
0.039307598942601,246,
0.17848390648425,247,
0.10269536051112,248,
0.16604527407058,249,
0.051715148846301,250,
0.13743343410724,251,
0.022074559898336,252,
0.12454751033822,253,
0.13506802093233,254,
0.1147156244578,255,
0.12073601400404,256,
0.075336045596277,257,
0.11625828564067,258,
0.075769815604611,259,
0.029128605997206,260,
0.04016480009159,261,
0.050692644986775,262,
0.20912877242491,263,
0.027301959055162,264,
0.068469088705781,265,
0.19102160815682,266,
0.1297907570721,267,
0.13869006853451,268,
0.03079647636492,269,
0.058117582082721,270,
0.081723490932367,271,
0.053054909145859,272,
0.08233971389415,273,
0.081254319314679,274,
0.064578671255601,275,
0.11141317050492,276,
0.1504163668498,277,
0.067726255973244,278,
0.083023978883609,279,
0.11402247311118,280,
0.13998387592847,281,
0.16260416041231,282,
0.039496191427084,283,
0.017581343691142,284,
0.082749683818287,285,
0.096593364971219,286,
0.17067193765836,287,
0.2972137987288,288,
0.10031205884752,289,
0.060909101979509,290,
0.15051321513936,291,
0.10491836824352,292,
0.14051587251726,293,
0.13692316334852,294,
0.16728725969226,295,
1.530763236117,296,
0.30962768990196,297,
0.1163623594375,298,
0.23309510901942,299,
0.28566997513721,300,
0.07986942735956,301,
0.11058350578348,302,
0.13536935654007,303,
1.2143087003353,304,
0.028647602572555,305,
0.13836086181603,306,
0.2204314008195,307,
0.12419048750566,308,
0.095480589569403,309,
0.028037908208456,310,
0.20152298820653,311,
0.206664570161,312,
0.068910182426773,313,
0.10452531995042,314,
0.082270552445596,315,
0.039276785677784,316,
0.056448032946762,317,
0.12031704380951,318,
0.1018693834433,319,
0.024512461749415,320,
0.077891376524408,321,
0.051606832112003,322,
0.035563479771128,323,
0.084408304340689,324,
0.037497867830998,325,
0.15042376322886,326,
0.21057518498609,327,
0.01753040830618,328,
0.12133122652057,329,
0.038627394638504,330,
0.21670339464279,331,
0.12435171748311,332,
0.64846356226078,333,
0.13868978708059,334,
0.32379681621588,335,
0.1665322421184,336,
0.1399394099701,337,
0.18770682608896,338,
0.19116076786173,339,
0.17268604183476,340,
0.25773742753051,341,
0.17075203188593,342,
0.10633055289972,343,
0.027922148813496,344,
0.028752065449226,345,
0.077988680212122,346,
0.099542815748999,347,
0.1343473243792,348,
0.080524992965635,349,
0.14446587747631,350,
0.1707011623002,351,
0.093217006071389,352,
0.0098615249262084,353,
0.077526865140091,354,
0.20971920554852,355,
0.074763599958431,356,
0.073029916287276,357,
0.15921676456386,358,
0.25714213159261,359,
0.11446328337665,360,
0.19066111985479,361,
0.13793900828224,362,
0.054278783213819,363,
0.030711111317997,364,
0.16104132868788,365,
0.10065980925802,366,
0.04019503170344,367,
0.12160041580725,368,
0.052572777851463,369,
0.074513840802613,370,
0.045567154270108,371,
0.18587786035067,372,
0.040153273595591,373,
0.12741303112389,374,
0.13761344508922,375,
0.052704779864174,376,
0.10712262918132,377,
0.094475966270788,378,
0.15523474632176,379,
0.10981916425612,380,
0.1033286160295,381,
0.082729645914086,382,
0.044924649181953,383,
0.18226996146508,384,
0.15348162426687,385,
